bowler_name,phase,s1_balls,s1_economy_raw,s1_economy_shrunk,s2_balls,s2_economy_raw,s2_economy_shrunk,s3_economy_proj,specialist_flag
SC Kuggeleijn,Powerplay,103,5.3,5.8,99,6.3,6.43,6.62,AVERAGE
SD Heazlett,Death,0,,8.73,6,14.0,9.21,9.35,AVERAGE
SD Heazlett,Middle,0,,6.82,37,8.11,7.31,7.46,AVERAGE
SD Heazlett,Powerplay,0,,6.65,6,5.0,6.5,6.46,AVERAGE
SK Chettri,Middle,0,,6.82,9,3.33,6.36,6.22,AVERAGE
SL Verma,Middle,0,,6.82,12,11.5,7.6,7.83,AVERAGE
SL Verma,Powerplay,0,,6.65,30,6.0,6.43,6.36,AVERAGE
SM Dhakal,Death,1,6.0,8.69,0,,8.73,8.74,AVERAGE
SM Dhakal,Middle,12,12.0,7.68,0,,6.82,6.56,AVERAGE
SMLD Samarakoon,Middle,0,,6.82,6,6.0,6.75,6.73,AVERAGE
SP Krishnamurthi,Death,0,,8.73,19,7.58,8.45,8.37,AVERAGE
SP Krishnamurthi,Middle,0,,6.82,67,6.81,6.81,6.81,AVERAGE
SP Krishnamurthi,Powerplay,0,,6.65,36,5.83,6.34,6.25,AVERAGE
Saad Bin Zafar,Death,31,4.65,7.34,0,,8.73,9.15,AVERAGE
Saad Bin Zafar,Middle,61,6.98,6.9,0,,6.82,6.8,AVERAGE
Saad Bin Zafar,Powerplay,62,7.65,7.16,0,,6.65,6.5,AVERAGE
Sachin Bhatt,Middle,0,,6.82,26,9.92,7.76,8.04,AVERAGE
Santosh Yadav,Death,0,,8.73,22,10.09,9.09,9.2,AVERAGE
Santosh Yadav,Middle,0,,6.82,78,5.46,6.05,5.82,AVERAGE
Santosh Yadav,Powerplay,0,,6.65,6,6.0,6.59,6.57,AVERAGE
Saugat Dhakal,Middle,0,,6.82,6,14.0,7.47,7.66,AVERAGE
Shahab Alam,Death,18,2.0,7.18,24,10.25,9.16,9.75,AVERAGE
Shahab Alam,Middle,67,6.27,6.53,121,5.7,6.07,5.93,AVERAGE
Shahab Alam,Powerplay,54,5.56,6.13,24,4.75,6.11,6.1,AVERAGE
Shankar Rana,Middle,0,,6.82,8,5.25,6.64,6.59,AVERAGE
Shubham Ranjane,Death,0,,8.73,32,10.12,9.21,9.35,AVERAGE
Shubham Ranjane,Middle,0,,6.82,18,8.67,7.25,7.38,AVERAGE
Shubham Ranjane,Powerplay,0,,6.65,12,12.5,7.62,7.91,AVERAGE
Sohail Tanvir,Death,46,6.26,7.66,40,7.95,8.42,8.65,AVERAGE
Sohail Tanvir,Middle,26,7.62,7.06,12,11.0,7.52,7.66,AVERAGE
Sohail Tanvir,Powerplay,120,4.95,5.52,63,5.81,6.22,6.43,AVERAGE
Sompal Kami,Death,60,9.2,8.96,72,10.25,9.56,9.74,AVERAGE
Sompal Kami,Middle,12,10.5,7.43,12,9.0,7.18,7.1,AVERAGE
Sompal Kami,Powerplay,117,6.67,6.66,68,7.15,6.92,7.0,AVERAGE
Subash Bhandari,Death,7,12.0,9.07,0,,8.73,8.63,AVERAGE
Subash Bhandari,Middle,18,5.67,6.55,30,6.8,6.81,6.89,AVERAGE
Subash Bhandari,Powerplay,0,,6.65,18,3.33,5.88,5.65,AVERAGE
Sunny Patel,Death,0,,8.73,12,6.5,8.36,8.25,AVERAGE
Sunny Patel,Middle,0,,6.82,31,6.19,6.61,6.55,AVERAGE
Sunny Patel,Powerplay,0,,6.65,31,4.45,5.9,5.68,AVERAGE
Surya Tamang,Death,17,9.88,8.98,0,,8.73,8.66,AVERAGE
Surya Tamang,Middle,68,7.41,7.13,51,8.24,7.47,7.57,AVERAGE
Surya Tamang,Powerplay,6,3.0,6.32,30,6.8,6.7,6.81,AVERAGE
TB Thapa,Middle,12,9.5,7.27,12,7.5,6.93,6.83,AVERAGE
TJ Draca,Death,0,,8.73,8,12.0,9.11,9.22,AVERAGE
TJ Draca,Middle,0,,6.82,12,5.5,6.6,6.53,AVERAGE
TR Bhandari,Death,0,,8.73,45,6.93,7.96,7.73,AVERAGE
TR Bhandari,Middle,24,6.0,6.59,121,4.81,5.48,5.15,SPECIALIST
UB Singh,Middle,0,,6.82,12,13.5,7.93,8.26,AVERAGE
UB Singh,Powerplay,0,,6.65,12,6.5,6.62,6.61,AVERAGE
UBS Thakuri,Middle,48,7.38,7.07,0,,6.82,6.74,AVERAGE
UBS Thakuri,Powerplay,6,5.0,6.5,0,,6.65,6.7,AVERAGE
WD Parnell,Death,0,,8.73,13,6.46,8.33,8.21,AVERAGE
WD Parnell,Powerplay,0,,6.65,6,14.0,7.32,7.52,AVERAGE
WG Bosisto,Death,6,8.0,8.66,0,,8.73,8.75,AVERAGE
WG Bosisto,Middle,122,7.18,7.06,43,6.0,6.48,6.31,AVERAGE
WG Bosisto,Powerplay,19,3.16,5.81,37,6.65,6.65,6.9,AVERAGE
Y Khatri,Death,0,,8.73,6,13.0,9.12,9.24,AVERAGE
Y Khatri,Middle,0,,6.82,60,8.2,7.51,7.72,AVERAGE
Zeeshan Maqsood,Death,18,5.67,8.02,0,,8.73,8.94,AVERAGE
Zeeshan Maqsood,Middle,128,5.11,5.66,0,,6.82,7.17,AVERAGE
Zeeshan Maqsood,Powerplay,57,5.68,6.18,0,,6.65,6.79,AVERAGE
